# T [K]		\Lambda[erg/s-cm^3]		n_e [per cm^3 per n_H]
2.9014e+05  3.4317e-22  1.1748e+00
2.9085e+05  3.4123e-22  1.1748e+00
2.9156e+05  3.3927e-22  1.1748e+00
2.9227e+05  3.3731e-22  1.1749e+00
2.9298e+05  3.3535e-22  1.1749e+00
2.9370e+05  3.3338e-22  1.1749e+00
2.9442e+05  3.3141e-22  1.1749e+00
2.9513e+05  3.2943e-22  1.1749e+00
2.9585e+05  3.2750e-22  1.1749e+00
2.9657e+05  3.2556e-22  1.1749e+00
2.9730e+05  3.2362e-22  1.1749e+00
2.9802e+05  3.2169e-22  1.1749e+00
2.9875e+05  3.1975e-22  1.1749e+00
2.9947e+05  3.1782e-22  1.1749e+00
3.0020e+05  3.1589e-22  1.1749e+00
3.0093e+05  3.1397e-22  1.1750e+00
3.0167e+05  3.1204e-22  1.1750e+00
3.0240e+05  3.1015e-22  1.1750e+00
3.0314e+05  3.0828e-22  1.1750e+00
3.0387e+05  3.0642e-22  1.1750e+00
3.0461e+05  3.0456e-22  1.1750e+00
3.0535e+05  3.0271e-22  1.1750e+00
3.0610e+05  3.0087e-22  1.1750e+00
3.0684e+05  2.9904e-22  1.1750e+00
3.0759e+05  2.9722e-22  1.1750e+00
3.0833e+05  2.9541e-22  1.1750e+00
3.0908e+05  2.9361e-22  1.1750e+00
3.0983e+05  2.9186e-22  1.1750e+00
3.1059e+05  2.9012e-22  1.1751e+00
3.1134e+05  2.8840e-22  1.1751e+00
3.1210e+05  2.8668e-22  1.1751e+00
3.1285e+05  2.8498e-22  1.1751e+00
3.1361e+05  2.8329e-22  1.1751e+00
3.1437e+05  2.8162e-22  1.1751e+00
3.1514e+05  2.7996e-22  1.1751e+00
3.1590e+05  2.7831e-22  1.1751e+00
3.1667e+05  2.7669e-22  1.1751e+00
3.1743e+05  2.7507e-22  1.1751e+00
3.1820e+05  2.7348e-22  1.1751e+00
3.1898e+05  2.7189e-22  1.1751e+00
3.1975e+05  2.7033e-22  1.1751e+00
3.2052e+05  2.6878e-22  1.1751e+00
3.2130e+05  2.6725e-22  1.1751e+00
3.2208e+05  2.6573e-22  1.1752e+00
3.2286e+05  2.6423e-22  1.1752e+00
3.2364e+05  2.6275e-22  1.1752e+00
3.2442e+05  2.6132e-22  1.1752e+00
3.2521e+05  2.5991e-22  1.1752e+00
3.2600e+05  2.5851e-22  1.1752e+00
3.2678e+05  2.5713e-22  1.1752e+00
3.2758e+05  2.5577e-22  1.1752e+00
3.2837e+05  2.5442e-22  1.1752e+00
3.2916e+05  2.5310e-22  1.1752e+00
3.2996e+05  2.5179e-22  1.1752e+00
3.3076e+05  2.5049e-22  1.1752e+00
3.3156e+05  2.4924e-22  1.1752e+00
3.3236e+05  2.4801e-22  1.1752e+00
3.3316e+05  2.4680e-22  1.1752e+00
3.3396e+05  2.4561e-22  1.1752e+00
3.3477e+05  2.4444e-22  1.1752e+00
3.3558e+05  2.4328e-22  1.1753e+00
3.3639e+05  2.4214e-22  1.1753e+00
3.3720e+05  2.4102e-22  1.1753e+00
3.3802e+05  2.3992e-22  1.1753e+00
3.3883e+05  2.3884e-22  1.1753e+00
3.3965e+05  2.3779e-22  1.1753e+00
3.4047e+05  2.3677e-22  1.1753e+00
3.4129e+05  2.3576e-22  1.1753e+00
3.4212e+05  2.3477e-22  1.1753e+00
3.4294e+05  2.3379e-22  1.1753e+00
3.4377e+05  2.3283e-22  1.1753e+00
3.4460e+05  2.3189e-22  1.1753e+00
3.4543e+05  2.3097e-22  1.1753e+00
3.4626e+05  2.3006e-22  1.1753e+00
3.4709e+05  2.2918e-22  1.1753e+00
3.4793e+05  2.2832e-22  1.1753e+00
3.4877e+05  2.2748e-22  1.1753e+00
3.4961e+05  2.2666e-22  1.1753e+00
3.5045e+05  2.2586e-22  1.1753e+00
3.5130e+05  2.2506e-22  1.1753e+00
3.5214e+05  2.2429e-22  1.1753e+00
3.5299e+05  2.2353e-22  1.1753e+00
3.5384e+05  2.2278e-22  1.1754e+00
3.5469e+05  2.2205e-22  1.1754e+00
3.5554e+05  2.2132e-22  1.1754e+00
3.5640e+05  2.2061e-22  1.1754e+00
3.5726e+05  2.1992e-22  1.1754e+00
3.5812e+05  2.1923e-22  1.1754e+00
3.5898e+05  2.1856e-22  1.1754e+00
3.5984e+05  2.1791e-22  1.1754e+00
3.6071e+05  2.1727e-22  1.1754e+00
3.6157e+05  2.1664e-22  1.1754e+00
3.6244e+05  2.1602e-22  1.1754e+00
3.6331e+05  2.1542e-22  1.1754e+00
3.6419e+05  2.1485e-22  1.1754e+00
3.6506e+05  2.1429e-22  1.1754e+00
3.6594e+05  2.1374e-22  1.1754e+00
3.6682e+05  2.1321e-22  1.1754e+00
3.6770e+05  2.1268e-22  1.1754e+00
3.6858e+05  2.1217e-22  1.1754e+00
3.6946e+05  2.1167e-22  1.1754e+00
3.7035e+05  2.1118e-22  1.1754e+00
3.7124e+05  2.1070e-22  1.1754e+00
3.7213e+05  2.1025e-22  1.1754e+00
3.7302e+05  2.0980e-22  1.1754e+00
3.7392e+05  2.0937e-22  1.1754e+00
3.7481e+05  2.0895e-22  1.1754e+00
3.7571e+05  2.0854e-22  1.1754e+00
3.7661e+05  2.0815e-22  1.1754e+00
3.7752e+05  2.0776e-22  1.1755e+00
3.7842e+05  2.0738e-22  1.1755e+00
3.7933e+05  2.0701e-22  1.1755e+00
3.8024e+05  2.0665e-22  1.1755e+00
3.8115e+05  2.0631e-22  1.1755e+00
3.8206e+05  2.0598e-22  1.1755e+00
3.8298e+05  2.0566e-22  1.1755e+00
3.8389e+05  2.0535e-22  1.1755e+00
3.8481e+05  2.0505e-22  1.1755e+00
3.8574e+05  2.0476e-22  1.1755e+00
3.8666e+05  2.0447e-22  1.1755e+00
3.8758e+05  2.0420e-22  1.1755e+00
3.8851e+05  2.0393e-22  1.1755e+00
3.8944e+05  2.0367e-22  1.1755e+00
3.9037e+05  2.0343e-22  1.1755e+00
3.9131e+05  2.0320e-22  1.1755e+00
3.9224e+05  2.0297e-22  1.1755e+00
3.9318e+05  2.0275e-22  1.1755e+00
3.9412e+05  2.0254e-22  1.1755e+00
3.9506e+05  2.0234e-22  1.1755e+00
3.9601e+05  2.0214e-22  1.1755e+00
3.9695e+05  2.0195e-22  1.1755e+00
3.9790e+05  2.0177e-22  1.1755e+00
3.9885e+05  2.0158e-22  1.1755e+00
3.9981e+05  2.0140e-22  1.1755e+00
4.0076e+05  2.0122e-22  1.1755e+00
4.0172e+05  2.0105e-22  1.1755e+00
4.0268e+05  2.0089e-22  1.1755e+00
4.0364e+05  2.0073e-22  1.1755e+00
4.0460e+05  2.0057e-22  1.1755e+00
4.0557e+05  2.0043e-22  1.1755e+00
4.0654e+05  2.0028e-22  1.1755e+00
4.0751e+05  2.0015e-22  1.1755e+00
4.0848e+05  2.0003e-22  1.1755e+00
4.0946e+05  1.9991e-22  1.1755e+00
4.1043e+05  1.9980e-22  1.1756e+00
4.1141e+05  1.9969e-22  1.1756e+00
4.1239e+05  1.9958e-22  1.1756e+00
4.1338e+05  1.9949e-22  1.1756e+00
4.1436e+05  1.9939e-22  1.1756e+00
4.1535e+05  1.9930e-22  1.1756e+00
4.1634e+05  1.9922e-22  1.1756e+00
4.1733e+05  1.9914e-22  1.1756e+00
4.1833e+05  1.9907e-22  1.1756e+00
4.1932e+05  1.9900e-22  1.1756e+00
4.2032e+05  1.9894e-22  1.1756e+00
4.2132e+05  1.9888e-22  1.1756e+00
4.2233e+05  1.9883e-22  1.1756e+00
4.2333e+05  1.9878e-22  1.1756e+00
4.2434e+05  1.9873e-22  1.1756e+00
4.2535e+05  1.9868e-22  1.1756e+00
4.2636e+05  1.9864e-22  1.1756e+00
4.2738e+05  1.9861e-22  1.1756e+00
4.2840e+05  1.9858e-22  1.1756e+00
4.2942e+05  1.9855e-22  1.1756e+00
4.3044e+05  1.9853e-22  1.1756e+00
4.3146e+05  1.9851e-22  1.1756e+00
4.3249e+05  1.9849e-22  1.1756e+00
4.3352e+05  1.9848e-22  1.1756e+00
4.3455e+05  1.9846e-22  1.1756e+00
4.3558e+05  1.9845e-22  1.1756e+00
4.3662e+05  1.9844e-22  1.1756e+00
4.3766e+05  1.9844e-22  1.1756e+00
4.3870e+05  1.9844e-22  1.1756e+00
4.3974e+05  1.9844e-22  1.1756e+00
4.4078e+05  1.9845e-22  1.1756e+00
4.4183e+05  1.9845e-22  1.1756e+00
4.4288e+05  1.9846e-22  1.1756e+00
4.4393e+05  1.9847e-22  1.1756e+00
4.4499e+05  1.9848e-22  1.1756e+00
4.4604e+05  1.9849e-22  1.1756e+00
4.4710e+05  1.9849e-22  1.1756e+00
4.4817e+05  1.9849e-22  1.1756e+00
4.4923e+05  1.9849e-22  1.1756e+00
4.5030e+05  1.9849e-22  1.1756e+00
4.5136e+05  1.9849e-22  1.1757e+00
4.5244e+05  1.9849e-22  1.1757e+00
4.5351e+05  1.9849e-22  1.1757e+00
4.5459e+05  1.9849e-22  1.1757e+00
4.5566e+05  1.9848e-22  1.1757e+00
4.5674e+05  1.9848e-22  1.1757e+00
4.5783e+05  1.9849e-22  1.1757e+00
4.5891e+05  1.9849e-22  1.1757e+00
4.6000e+05  1.9850e-22  1.1757e+00
4.6109e+05  1.9850e-22  1.1757e+00
4.6219e+05  1.9850e-22  1.1757e+00
4.6328e+05  1.9850e-22  1.1757e+00
4.6438e+05  1.9850e-22  1.1757e+00
4.6548e+05  1.9850e-22  1.1757e+00
4.6658e+05  1.9850e-22  1.1757e+00
4.6769e+05  1.9850e-22  1.1757e+00
4.6880e+05  1.9850e-22  1.1757e+00
4.6991e+05  1.9850e-22  1.1757e+00
4.7102e+05  1.9849e-22  1.1757e+00
4.7214e+05  1.9849e-22  1.1757e+00
4.7325e+05  1.9848e-22  1.1757e+00
4.7437e+05  1.9847e-22  1.1757e+00
4.7550e+05  1.9846e-22  1.1757e+00
4.7662e+05  1.9845e-22  1.1757e+00
4.7775e+05  1.9843e-22  1.1757e+00
4.7888e+05  1.9842e-22  1.1757e+00
4.8001e+05  1.9840e-22  1.1757e+00
4.8115e+05  1.9838e-22  1.1757e+00
4.8229e+05  1.9836e-22  1.1757e+00
4.8343e+05  1.9834e-22  1.1757e+00
4.8457e+05  1.9831e-22  1.1757e+00
4.8572e+05  1.9828e-22  1.1757e+00
4.8687e+05  1.9824e-22  1.1757e+00
4.8802e+05  1.9821e-22  1.1757e+00
4.8917e+05  1.9816e-22  1.1757e+00
4.9033e+05  1.9812e-22  1.1757e+00
4.9149e+05  1.9808e-22  1.1757e+00
4.9265e+05  1.9803e-22  1.1757e+00
4.9381e+05  1.9798e-22  1.1758e+00
4.9498e+05  1.9792e-22  1.1758e+00
4.9615e+05  1.9786e-22  1.1758e+00
4.9732e+05  1.9779e-22  1.1758e+00
4.9850e+05  1.9772e-22  1.1758e+00
4.9967e+05  1.9764e-22  1.1758e+00
5.0085e+05  1.9756e-22  1.1758e+00
5.0204e+05  1.9746e-22  1.1758e+00
5.0322e+05  1.9736e-22  1.1758e+00
5.0441e+05  1.9724e-22  1.1758e+00
5.0560e+05  1.9712e-22  1.1758e+00
5.0679e+05  1.9700e-22  1.1758e+00
5.0799e+05  1.9687e-22  1.1758e+00
5.0919e+05  1.9673e-22  1.1758e+00
5.1039e+05  1.9659e-22  1.1758e+00
5.1159e+05  1.9644e-22  1.1758e+00
5.1280e+05  1.9628e-22  1.1758e+00
5.1401e+05  1.9613e-22  1.1758e+00
5.1522e+05  1.9597e-22  1.1758e+00
5.1644e+05  1.9580e-22  1.1758e+00
5.1766e+05  1.9562e-22  1.1758e+00
5.1888e+05  1.9544e-22  1.1758e+00
5.2010e+05  1.9525e-22  1.1758e+00
5.2133e+05  1.9505e-22  1.1758e+00
5.2256e+05  1.9485e-22  1.1758e+00
5.2379e+05  1.9464e-22  1.1758e+00
5.2502e+05  1.9442e-22  1.1758e+00
5.2626e+05  1.9420e-22  1.1758e+00
5.2750e+05  1.9397e-22  1.1758e+00
5.2874e+05  1.9374e-22  1.1758e+00
5.2999e+05  1.9350e-22  1.1758e+00
5.3123e+05  1.9325e-22  1.1758e+00
5.3249e+05  1.9299e-22  1.1758e+00
5.3374e+05  1.9272e-22  1.1759e+00
5.3500e+05  1.9245e-22  1.1759e+00
5.3626e+05  1.9217e-22  1.1759e+00
5.3752e+05  1.9188e-22  1.1759e+00
5.3878e+05  1.9159e-22  1.1759e+00
5.4005e+05  1.9129e-22  1.1759e+00
5.4132e+05  1.9098e-22  1.1759e+00
5.4260e+05  1.9067e-22  1.1759e+00
5.4387e+05  1.9034e-22  1.1759e+00
5.4515e+05  1.9001e-22  1.1759e+00
5.4644e+05  1.8967e-22  1.1759e+00
5.4772e+05  1.8932e-22  1.1759e+00
5.4901e+05  1.8896e-22  1.1759e+00
5.5030e+05  1.8860e-22  1.1759e+00
5.5159e+05  1.8823e-22  1.1759e+00
5.5289e+05  1.8786e-22  1.1759e+00
5.5419e+05  1.8747e-22  1.1759e+00
5.5549e+05  1.8708e-22  1.1759e+00
5.5680e+05  1.8668e-22  1.1759e+00
5.5811e+05  1.8627e-22  1.1759e+00
5.5942e+05  1.8586e-22  1.1759e+00
5.6073e+05  1.8543e-22  1.1759e+00
5.6205e+05  1.8500e-22  1.1759e+00
5.6337e+05  1.8455e-22  1.1759e+00
5.6470e+05  1.8409e-22  1.1759e+00
5.6602e+05  1.8363e-22  1.1759e+00
5.6735e+05  1.8316e-22  1.1759e+00
5.6868e+05  1.8268e-22  1.1759e+00
5.7002e+05  1.8219e-22  1.1760e+00
5.7136e+05  1.8169e-22  1.1760e+00
5.7270e+05  1.8119e-22  1.1760e+00
5.7404e+05  1.8067e-22  1.1760e+00
5.7539e+05  1.8015e-22  1.1760e+00
5.7674e+05  1.7964e-22  1.1760e+00
5.7810e+05  1.7912e-22  1.1760e+00
5.7945e+05  1.7859e-22  1.1760e+00
5.8081e+05  1.7805e-22  1.1760e+00
5.8217e+05  1.7751e-22  1.1760e+00
5.8354e+05  1.7696e-22  1.1760e+00
5.8491e+05  1.7641e-22  1.1760e+00
5.8628e+05  1.7584e-22  1.1760e+00
5.8766e+05  1.7528e-22  1.1760e+00
5.8903e+05  1.7470e-22  1.1760e+00
5.9042e+05  1.7414e-22  1.1760e+00
5.9180e+05  1.7357e-22  1.1760e+00
5.9319e+05  1.7299e-22  1.1760e+00
5.9458e+05  1.7241e-22  1.1760e+00
5.9597e+05  1.7182e-22  1.1760e+00
5.9737e+05  1.7123e-22  1.1760e+00
5.9877e+05  1.7063e-22  1.1760e+00
6.0017e+05  1.7003e-22  1.1760e+00
6.0158e+05  1.6942e-22  1.1760e+00
6.0299e+05  1.6882e-22  1.1760e+00
6.0440e+05  1.6822e-22  1.1760e+00
6.0582e+05  1.6761e-22  1.1761e+00
6.0724e+05  1.6701e-22  1.1761e+00
6.0866e+05  1.6640e-22  1.1761e+00
6.1008e+05  1.6578e-22  1.1761e+00
6.1151e+05  1.6517e-22  1.1761e+00
6.1294e+05  1.6455e-22  1.1761e+00
6.1438e+05  1.6393e-22  1.1761e+00
6.1582e+05  1.6330e-22  1.1761e+00
6.1726e+05  1.6268e-22  1.1761e+00
6.1870e+05  1.6207e-22  1.1761e+00
6.2015e+05  1.6146e-22  1.1761e+00
6.2160e+05  1.6084e-22  1.1761e+00
6.2306e+05  1.6023e-22  1.1761e+00
6.2452e+05  1.5961e-22  1.1761e+00
6.2598e+05  1.5899e-22  1.1761e+00
6.2744e+05  1.5837e-22  1.1761e+00
6.2891e+05  1.5775e-22  1.1761e+00
6.3038e+05  1.5714e-22  1.1761e+00
6.3186e+05  1.5652e-22  1.1761e+00
6.3333e+05  1.5590e-22  1.1761e+00
6.3481e+05  1.5528e-22  1.1761e+00
6.3630e+05  1.5466e-22  1.1761e+00
6.3779e+05  1.5404e-22  1.1761e+00
6.3928e+05  1.5342e-22  1.1761e+00
6.4077e+05  1.5281e-22  1.1761e+00
6.4227e+05  1.5219e-22  1.1761e+00
6.4377e+05  1.5158e-22  1.1762e+00
6.4528e+05  1.5097e-22  1.1762e+00
6.4678e+05  1.5037e-22  1.1762e+00
6.4829e+05  1.4978e-22  1.1762e+00
6.4981e+05  1.4919e-22  1.1762e+00
6.5133e+05  1.4860e-22  1.1762e+00
6.5285e+05  1.4802e-22  1.1762e+00
6.5437e+05  1.4743e-22  1.1762e+00
6.5590e+05  1.4685e-22  1.1762e+00
6.5743e+05  1.4628e-22  1.1762e+00
6.5897e+05  1.4570e-22  1.1762e+00
6.6051e+05  1.4513e-22  1.1762e+00
6.6205e+05  1.4458e-22  1.1762e+00
6.6360e+05  1.4402e-22  1.1762e+00
6.6515e+05  1.4348e-22  1.1762e+00
6.6670e+05  1.4293e-22  1.1762e+00
6.6825e+05  1.4239e-22  1.1762e+00
6.6981e+05  1.4186e-22  1.1762e+00
6.7138e+05  1.4133e-22  1.1762e+00
6.7294e+05  1.4080e-22  1.1762e+00
6.7451e+05  1.4028e-22  1.1762e+00
6.7609e+05  1.3976e-22  1.1762e+00
6.7767e+05  1.3925e-22  1.1762e+00
6.7925e+05  1.3876e-22  1.1762e+00
6.8083e+05  1.3826e-22  1.1762e+00
6.8242e+05  1.3777e-22  1.1762e+00
6.8401e+05  1.3729e-22  1.1762e+00
6.8561e+05  1.3681e-22  1.1762e+00
6.8720e+05  1.3633e-22  1.1762e+00
6.8881e+05  1.3586e-22  1.1763e+00
6.9041e+05  1.3540e-22  1.1763e+00
6.9202e+05  1.3494e-22  1.1763e+00
6.9364e+05  1.3449e-22  1.1763e+00
6.9525e+05  1.3405e-22  1.1763e+00
6.9687e+05  1.3361e-22  1.1763e+00
6.9850e+05  1.3318e-22  1.1763e+00
7.0012e+05  1.3276e-22  1.1763e+00
7.0176e+05  1.3234e-22  1.1763e+00
7.0339e+05  1.3192e-22  1.1763e+00
7.0503e+05  1.3151e-22  1.1763e+00
7.0667e+05  1.3110e-22  1.1763e+00
7.0832e+05  1.3070e-22  1.1763e+00
7.0997e+05  1.3031e-22  1.1763e+00
7.1162e+05  1.2991e-22  1.1763e+00
7.1328e+05  1.2952e-22  1.1763e+00
7.1494e+05  1.2914e-22  1.1763e+00
7.1661e+05  1.2876e-22  1.1763e+00
7.1827e+05  1.2839e-22  1.1763e+00
7.1995e+05  1.2802e-22  1.1763e+00
7.2162e+05  1.2765e-22  1.1763e+00
7.2330e+05  1.2730e-22  1.1763e+00
7.2499e+05  1.2695e-22  1.1763e+00
7.2667e+05  1.2661e-22  1.1763e+00
7.2837e+05  1.2627e-22  1.1763e+00
7.3006e+05  1.2594e-22  1.1763e+00
7.3176e+05  1.2561e-22  1.1763e+00
7.3346e+05  1.2529e-22  1.1763e+00
7.3517e+05  1.2498e-22  1.1763e+00
7.3688e+05  1.2466e-22  1.1763e+00
7.3859e+05  1.2436e-22  1.1763e+00
7.4031e+05  1.2406e-22  1.1763e+00
7.4203e+05  1.2376e-22  1.1763e+00
7.4376e+05  1.2348e-22  1.1763e+00
7.4549e+05  1.2320e-22  1.1764e+00
7.4722e+05  1.2292e-22  1.1764e+00
7.4896e+05  1.2265e-22  1.1764e+00
7.5070e+05  1.2238e-22  1.1764e+00
7.5245e+05  1.2212e-22  1.1764e+00
7.5420e+05  1.2186e-22  1.1764e+00
7.5595e+05  1.2160e-22  1.1764e+00
7.5771e+05  1.2135e-22  1.1764e+00
7.5947e+05  1.2111e-22  1.1764e+00
7.6123e+05  1.2088e-22  1.1764e+00
7.6300e+05  1.2064e-22  1.1764e+00
7.6477e+05  1.2042e-22  1.1764e+00
7.6655e+05  1.2019e-22  1.1764e+00
7.6833e+05  1.1998e-22  1.1764e+00
7.7012e+05  1.1976e-22  1.1764e+00
7.7191e+05  1.1955e-22  1.1764e+00
7.7370e+05  1.1934e-22  1.1764e+00
7.7550e+05  1.1914e-22  1.1764e+00
7.7730e+05  1.1894e-22  1.1764e+00
7.7910e+05  1.1875e-22  1.1764e+00
7.8091e+05  1.1857e-22  1.1764e+00
7.8273e+05  1.1838e-22  1.1764e+00
7.8454e+05  1.1820e-22  1.1764e+00
7.8637e+05  1.1803e-22  1.1764e+00
7.8819e+05  1.1785e-22  1.1764e+00
7.9002e+05  1.1769e-22  1.1764e+00
7.9186e+05  1.1752e-22  1.1764e+00
7.9369e+05  1.1736e-22  1.1764e+00
7.9554e+05  1.1719e-22  1.1764e+00
7.9738e+05  1.1704e-22  1.1764e+00
7.9923e+05  1.1688e-22  1.1764e+00
8.0109e+05  1.1673e-22  1.1764e+00
8.0295e+05  1.1657e-22  1.1764e+00
8.0481e+05  1.1643e-22  1.1764e+00
8.0668e+05  1.1628e-22  1.1764e+00
8.0855e+05  1.1614e-22  1.1764e+00
8.1042e+05  1.1600e-22  1.1764e+00
8.1230e+05  1.1586e-22  1.1764e+00
8.1419e+05  1.1573e-22  1.1764e+00
8.1608e+05  1.1561e-22  1.1765e+00
8.1797e+05  1.1548e-22  1.1765e+00
8.1987e+05  1.1536e-22  1.1765e+00
8.2177e+05  1.1524e-22  1.1765e+00
8.2367e+05  1.1513e-22  1.1765e+00
8.2558e+05  1.1501e-22  1.1765e+00
8.2750e+05  1.1490e-22  1.1765e+00
8.2941e+05  1.1479e-22  1.1765e+00
8.3134e+05  1.1469e-22  1.1765e+00
8.3326e+05  1.1458e-22  1.1765e+00
8.3519e+05  1.1449e-22  1.1765e+00
8.3713e+05  1.1439e-22  1.1765e+00
8.3907e+05  1.1430e-22  1.1765e+00
8.4101e+05  1.1420e-22  1.1765e+00
8.4296e+05  1.1411e-22  1.1765e+00
8.4492e+05  1.1402e-22  1.1765e+00
8.4687e+05  1.1394e-22  1.1765e+00
8.4884e+05  1.1385e-22  1.1765e+00
8.5080e+05  1.1377e-22  1.1765e+00
8.5277e+05  1.1369e-22  1.1765e+00
8.5475e+05  1.1362e-22  1.1765e+00
8.5673e+05  1.1354e-22  1.1765e+00
8.5871e+05  1.1347e-22  1.1765e+00
8.6070e+05  1.1340e-22  1.1765e+00
8.6269e+05  1.1333e-22  1.1765e+00
8.6469e+05  1.1326e-22  1.1765e+00
8.6669e+05  1.1320e-22  1.1765e+00
8.6870e+05  1.1313e-22  1.1765e+00
8.7071e+05  1.1307e-22  1.1765e+00
8.7273e+05  1.1301e-22  1.1765e+00
8.7475e+05  1.1295e-22  1.1765e+00
8.7677e+05  1.1290e-22  1.1765e+00
8.7880e+05  1.1284e-22  1.1765e+00
8.8084e+05  1.1279e-22  1.1765e+00
8.8287e+05  1.1274e-22  1.1765e+00
8.8492e+05  1.1269e-22  1.1765e+00
8.8696e+05  1.1264e-22  1.1765e+00
8.8902e+05  1.1259e-22  1.1765e+00
8.9107e+05  1.1254e-22  1.1765e+00
8.9314e+05  1.1249e-22  1.1765e+00
8.9520e+05  1.1243e-22  1.1765e+00
8.9727e+05  1.1238e-22  1.1766e+00
8.9935e+05  1.1233e-22  1.1766e+00
9.0143e+05  1.1228e-22  1.1766e+00
9.0351e+05  1.1223e-22  1.1766e+00
9.0560e+05  1.1218e-22  1.1766e+00
9.0770e+05  1.1213e-22  1.1766e+00
9.0980e+05  1.1208e-22  1.1766e+00
9.1190e+05  1.1203e-22  1.1766e+00
9.1401e+05  1.1199e-22  1.1766e+00
9.1612e+05  1.1194e-22  1.1766e+00
9.1824e+05  1.1190e-22  1.1766e+00
9.2036e+05  1.1186e-22  1.1766e+00
9.2249e+05  1.1181e-22  1.1766e+00
9.2462e+05  1.1177e-22  1.1766e+00
9.2676e+05  1.1173e-22  1.1766e+00
9.2890e+05  1.1169e-22  1.1766e+00
9.3105e+05  1.1165e-22  1.1766e+00
9.3320e+05  1.1161e-22  1.1766e+00
9.3535e+05  1.1157e-22  1.1766e+00
9.3752e+05  1.1154e-22  1.1766e+00
9.3968e+05  1.1150e-22  1.1766e+00
9.4185e+05  1.1147e-22  1.1766e+00
9.4403e+05  1.1143e-22  1.1766e+00
9.4621e+05  1.1139e-22  1.1766e+00
9.4840e+05  1.1136e-22  1.1766e+00
9.5059e+05  1.1132e-22  1.1766e+00
9.5278e+05  1.1129e-22  1.1766e+00
9.5498e+05  1.1125e-22  1.1766e+00
9.5719e+05  1.1122e-22  1.1766e+00
9.5940e+05  1.1119e-22  1.1766e+00
9.6161e+05  1.1116e-22  1.1766e+00
9.6383e+05  1.1112e-22  1.1766e+00
9.6606e+05  1.1109e-22  1.1766e+00
9.6829e+05  1.1106e-22  1.1766e+00
9.7052e+05  1.1103e-22  1.1766e+00
9.7277e+05  1.1100e-22  1.1766e+00
9.7501e+05  1.1096e-22  1.1766e+00
9.7726e+05  1.1093e-22  1.1766e+00
9.7952e+05  1.1090e-22  1.1767e+00
9.8178e+05  1.1087e-22  1.1767e+00
9.8404e+05  1.1084e-22  1.1767e+00
9.8631e+05  1.1081e-22  1.1767e+00
9.8859e+05  1.1078e-22  1.1767e+00
9.9087e+05  1.1075e-22  1.1767e+00
9.9316e+05  1.1072e-22  1.1767e+00
9.9545e+05  1.1069e-22  1.1767e+00
9.9775e+05  1.1066e-22  1.1767e+00
1.0000e+06  1.1063e-22  1.1767e+00
1.0024e+06  1.1059e-22  1.1767e+00
1.0047e+06  1.1055e-22  1.1767e+00
1.0070e+06  1.1051e-22  1.1767e+00
1.0093e+06  1.1047e-22  1.1767e+00
1.0116e+06  1.1043e-22  1.1767e+00
1.0140e+06  1.1039e-22  1.1767e+00
1.0163e+06  1.1034e-22  1.1767e+00
1.0186e+06  1.1030e-22  1.1767e+00
1.0210e+06  1.1026e-22  1.1767e+00
1.0234e+06  1.1022e-22  1.1767e+00
1.0257e+06  1.1018e-22  1.1767e+00
1.0281e+06  1.1014e-22  1.1767e+00
1.0304e+06  1.1010e-22  1.1767e+00
1.0328e+06  1.1006e-22  1.1767e+00
1.0352e+06  1.1002e-22  1.1767e+00
1.0376e+06  1.0998e-22  1.1767e+00
1.0400e+06  1.0994e-22  1.1767e+00
1.0424e+06  1.0989e-22  1.1767e+00
1.0448e+06  1.0985e-22  1.1767e+00
1.0472e+06  1.0981e-22  1.1767e+00
1.0496e+06  1.0977e-22  1.1767e+00
1.0520e+06  1.0973e-22  1.1767e+00
1.0544e+06  1.0969e-22  1.1767e+00
1.0569e+06  1.0965e-22  1.1767e+00
1.0593e+06  1.0961e-22  1.1767e+00
1.0617e+06  1.0957e-22  1.1768e+00
1.0642e+06  1.0953e-22  1.1768e+00
1.0666e+06  1.0949e-22  1.1768e+00
1.0691e+06  1.0945e-22  1.1768e+00
1.0716e+06  1.0941e-22  1.1768e+00
1.0740e+06  1.0937e-22  1.1768e+00
1.0765e+06  1.0933e-22  1.1768e+00
1.0790e+06  1.0929e-22  1.1768e+00
1.0815e+06  1.0925e-22  1.1768e+00
1.0840e+06  1.0921e-22  1.1768e+00
1.0865e+06  1.0917e-22  1.1768e+00
1.0890e+06  1.0913e-22  1.1768e+00
1.0915e+06  1.0909e-22  1.1768e+00
1.0940e+06  1.0905e-22  1.1768e+00
1.0965e+06  1.0901e-22  1.1768e+00
1.0990e+06  1.0897e-22  1.1768e+00
1.1015e+06  1.0894e-22  1.1768e+00
1.1041e+06  1.0890e-22  1.1768e+00
1.1066e+06  1.0886e-22  1.1768e+00
1.1092e+06  1.0882e-22  1.1768e+00
1.1117e+06  1.0878e-22  1.1768e+00
1.1143e+06  1.0874e-22  1.1768e+00
1.1168e+06  1.0870e-22  1.1768e+00
1.1194e+06  1.0866e-22  1.1768e+00
1.1220e+06  1.0862e-22  1.1768e+00
1.1246e+06  1.0858e-22  1.1768e+00
1.1272e+06  1.0853e-22  1.1768e+00
1.1298e+06  1.0849e-22  1.1768e+00
1.1324e+06  1.0844e-22  1.1768e+00
1.1350e+06  1.0839e-22  1.1768e+00
